IDQA,COORD_X,COORD_Y,ESTABLIMENT,TITULAR,GRUP_ACTIVITAT,EPIGRAF_DEI,EPIGRAF_PCAA,INFORME_PROGRAMA_2018,INFORME_PROGRAMA_2017,INFORME_PROGRAMA_2016,INFORME_PROGRAMA_2015,GEOMETRIA
3268,325459,4552735,CANT D'ORGUES,"MATEU ESCODA, CB",Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/tarragona/V/W-03268-T1INS180025.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/tarragona/V/W-03268_T1INS170010.pdf,-,-,POINT (325459 4552735)
3269,300342,4593212,AVICOLA FILELLA,"AVICOLA FILELLA, S.L.U.",Explotació ramadera,9.3.a),I.1 - 11.1.a),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/A/W-03269-L1INS170134.pdf,-,-,POINT (300342 4593212)
3270,307971,4628278,GRANJA GENSANA PORCS,"RAMADERIA CASTELLO, S.C.P.",Explotació ramadera,9.3.b),I.1 - 11.1.b),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/C/W-03270-L1INS170310.pdf,-,-,POINT (307971 4628278)
3271,349615,4622510,GRANJA MARSÀ,FABIÀ MARSÀ TORRES,Explotació ramadera,9.3.b),I.1 - 11.1.b),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/P/W-03271-L1INS170431.pdf,-,-,POINT (349615 4622510)
2905,390279,4598973,"PREMA, S.A.","PREMA, S.A.",Industrial,2.6,I.1 - 3.21,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/barcelona/C/W-02905-B1INS180442.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/C/2905_B1INS160475.pdf,-,POINT (390279 4598973)
2906,367412,4611686,GRANJA LLOBET,JOAN LLOBET CANELA,Explotació ramadera,9.3.b),I.1 - 11.1.b),-,-,-,-,POINT (367412 4611686)
2907,440761,4644382,"GRUP BAUCELLS ALIMENTACIO, S.L.","GRUP BAUCELLS ALIMENTACIÓ, SL",Industrial,9.1.b)i),I.1 - 7.2. a),-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/V/2907_B1INS160349.pdf,-,POINT (440761 4644382)
2961,335261,4664990,GRANJA AGROSIMON,"SIMON-PORCI, S.L.",Explotació ramadera,9.3.c),I.1 - 11.1.c),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/I/W-02961-L1INS180218.pdf,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/lleida/I/W-02961-L1INS150178.pdf,POINT (335261 4664990)
2962,340579,4663573,GRANJA CABALE,MARIA ISABEL MACIA BLASI,Explotació ramadera,9.3.b),I.1 - 11.1.b),-,-,-,-,POINT (340579 4663573)
2963,335224,4667721,GRANJA BASTURS,"CAL GENERAL, S.L.",Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/I/W-02963-L1INS180434.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/lleida/I/W-02963-L1INS160310.pdf,-,POINT (335224 4667721)
2964,339361,4665635,GRANJA PERETO,"PERETO-ERILL, S.L.",Explotació ramadera,9.3.c),I.1 - 11.1.c),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/I/W-02964-L1INS180431.pdf,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/lleida/I/2964-L1INS150375.pdf,POINT (339361 4665635)
